condition;test;comparison;correction;type_ci;distance;1%;5%;10%;groups;differences;ssize;normalData;ssizediff;what;runs;perm;boot;1%_perCentage;5%_perCentage;10%_perCentage
101;CIO;Eta3 ~ Eta1;NA;CI_standard_z;NA;499;495;492;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.002;0.01;0.016
101;CIP;Eta3 ~ Eta1;NA;CI_basic;NA;468;434;411;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.064;0.132;0.178
101;CIP;Eta3 ~ Eta1;NA;CI_bca;NA;483;448;422;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.034;0.104;0.156
101;CIP;Eta3 ~ Eta1;NA;CI_percentile;NA;483;451;418;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.034;0.098;0.164
101;CIP;Eta3 ~ Eta1;NA;CI_standard_z;NA;475;443;419;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.05;0.114;0.162
101;NBT;Eta3 ~ Eta1;none;NA;NA;494;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.102
101;PTE;Eta3 ~ Eta1;BH;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;bonferroni;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;BY;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;fdr;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;hochberg;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;holm;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;hommel;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;PTE;Eta3 ~ Eta1;none;NA;NA;496;472;449;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.008;0.056;0.102
101;NDT;overall;NA;NA;dG;491;470;441;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.018;0.06;0.118
101;NDT;overall;NA;NA;dL;494;469;445;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.062;0.11
101;PTU;Eta3 ~ Eta1;BH;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;bonferroni;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;BY;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;fdr;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;hochberg;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;holm;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;hommel;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;PTU;Eta3 ~ Eta1;none;NA;NA;494;472;451;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.012;0.056;0.098
101;OTG;Eta3 ~ Eta1;BH;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;bonferroni;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;BY;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;fdr;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;hochberg;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;holm;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;hommel;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
101;OTG;Eta3 ~ Eta1;none;NA;NA;37;30;25;2 groups;none;300;FALSE;severely unequal;path;500;1000;1000;0.926;0.94;0.95
102;NPT;Eta3 ~ Eta1;BH;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
102;NPT;Eta3 ~ Eta1;bonferroni;NA;NA;484;441;401;2 groups;small;300;FALSE;severely unequal;path;500;1000;1000;0.032;0.118;0.198
